,Item Code,Category,Type,Material
2013,SAE0215-17 -- Brass Baby Box,Home Decor,,Wood
2014,SLPPT-01 -- LEATHER PUPPET,Home Decor,,Wood
2015,SJ0414-136 -- Silver Earring,Home Decor,,Wood
2016,EIMSK-01 -- Wooden Mask,Home Decor,,Wood
2017,AZ-L-HGNP-9/10-025 -- Hanging Ganpati Small,Home Decor,,Wood
2018,LDTRY-01 -- Tray,Home Decor,,Wood
2019,SLCK -- Old Chakli maker,Home Decor,,Wood
2020,SLTILE-01 -- Ceramic Tile,Home Decor,,Wood
2021,SNTY0914-04 -- Jute  Wool Cotton 2.5x7.5,Home Decor,,Wood
2022,SAE1013 03 -- dumbell,Home Decor,,Wood
2023,LAL0914-19 -- Hanger,Home Decor,,Wood
2024,SLLTHO-06 -- Litho Picture,Home Decor,,Wood
2025,SAE0716-73 -- Glass Bottle,Home Decor,,Wood
2026,NAVAS-09 -- Clear Glass,Home Decor,,Wood
2027,FE0115-07 -- Round Candle Std.,Home Decor,,Wood
2028,CCPO003 -- GANESHA,Home Decor,,Wood
2029,FLJBX1106YG -- JEWELLERY BOX GOLD,Home Decor,,Wood
2030,DTDPT-01 -- Dhoop Pot,Home Decor,,Wood
2031,SAE1013-31 -- Hooks,Home Decor,,Wood
2032,SAE1013-32 -- Singale hook,Home Decor,,Wood
2033,SAE0317-05 -- PAPERMACHE MASK,Home Decor,,Wood
2034,IR951YL -- Frangrance Sachlet Ylang Ylang,Home Decor,,Wood
2035,H2H4055 -- W/c Candle Stand,Home Decor,,Wood
2036,RB-29 -- Key chain,Home Decor,,Wood
2037,SLAGST-01 -- Agarbati,Home Decor,,Wood
2038,RC1211-02 -- Iron Frog Standing T/color,Home Decor,,Wood
2039,SLKCHN-02 -- Keychains,Home Decor,,Wood
2040,SLMSK-01 -- African mask,Home Decor,,Wood
2041,H2H0916-18 -- Iron press,Home Decor,,Wood
2042,"DLMP-03 -- 9"" Beljar Handi",Home Decor,,Wood
2043,SAE0215-24 -- Brass  Dal pot,Home Decor,,Wood
2044,SA-AQLBSCE-02 -- Bar Show case,Home Decor,,Wood
2045,H2H0916-08 -- W/C Mirror Pannel,Home Decor,,Wood
2046,FLJBX0606GR -- JEWELLERY BOX GREEN / GRN BROCADE,Home Decor,,Wood
2047,LBLT010-18 -- Brass 4 Belt,Home Decor,,Wood
2048,AR-ER-39 -- Brass Earring,Home Decor,,Wood
2049,MAE0916-09 -- Iron Std.,Home Decor,,Wood
2050,SAE0716-41 -- Brass Bell,Home Decor,,Wood
2051,SAE0215-09 -- Glass Butter Maker,Home Decor,,Wood
2052,CHTBX-01 -- Painted Tissue Box,Home Decor,,Wood
2053,SLSPN-02 -- Old Copper Spoon,Home Decor,,Wood
2054,SLCOMB-01 -- Brass Comb,Home Decor,,Wood
2055,SAE0716-52 -- wooden Painted Pannel,Home Decor,,Wood
2056,SUD-09 -- Cut Glass Bowl,Home Decor,,Wood
2057,BAMIR-01 -- Mirror Frame Painted,Home Decor,,Wood
2058,GJ-14 -- Shell wth flower,Home Decor,,Wood
