Index,Date,Quantity,Cost,GDP,CPI
5451,2016-09,1,11700.0,509.9700000000012,1
5453,2017-01,1,32500.0,0.0,0
5454,2016-02,1,30875.0,0.0,1
5461,2016-09,1,7457.5,509.9700000000012,1
5798,2014-12,1,5333.0,1856.0400000000006,1
5799,2015-04,1,5700.0,0.0,2
5800,2014-10,1,7555.56,0.0,0
5997,2015-06,2,3555.56,1128.1399999999996,2
5998,2016-06,1,1900.0,1267.4199999999985,3
5999,2016-10,1,2850.0,0.0,-1
6000,2016-04,1,1777.8,0.0,4
6001,2015-05,1,1333.0,0.0,3
6002,2015-06,1,1777.78,1128.1399999999996,2
6003,2015-05,1,2400.3,0.0,3
6004,2016-11,1,2643.3,0.0,-2
6326,2013-09,1,2850.0,-23.670000000001888,3
6330,2013-08,1,1300.0,0.0,1
6380,2016-12,1,2800.0,650.1200000000026,-1
6381,2017-03,1,2100.0,695.9799999999959,2
6382,2017-11,1,1995.0,0.0,-2
6383,2017-10,1,22325.0,0.0,1
6384,2017-04,1,1409.76,0.0,1
6385,2017-07,1,2200.0,0.0,0
6386,2016-12,1,2185.0,650.1200000000026,-1
6387,2017-08,1,2300.0,0.0,0
6388,2016-12,1,32500.0,650.1200000000026,-1
6389,2017-02,1,32500.0,0.0,1
6392,2017-04,1,8788.97,0.0,1
6393,2017-03,1,8075.0,695.9799999999959,2
6394,2017-01,1,7000.0,0.0,0
6395,2017-11,1,6650.0,0.0,-2
6398,2017-10,1,9975.0,0.0,1
6399,2017-10,1,9975.0,0.0,1
6400,2017-07,1,22800.0,0.0,0
6631,2015-01,1,18000.0,0.0,-1
6632,2016-06,1,13333.4,1267.4199999999985,3
6633,2012-03,1,15000.0,148.04999999999927,4
6634,2010-12,1,2000.0,-253.23999999999802,3
6635,2011-06,1,11000.0,1908.630000000001,4
6636,2016-04,2,27550.0,0.0,4
6637,2013-07,1,13775.0,0.0,2
6638,2017-04,1,13775.0,0.0,1
6677,2011-06,1,14725.0,1908.630000000001,4
6678,2011-10,1,14725.0,0.0,1
6679,2011-12,1,14725.0,-116.04999999999927,1
6680,2010-12,1,13950.0,-253.23999999999802,3
6681,2012-12,1,13775.0,-148.4300000000003,2
6682,2013-03,1,16000.0,704.75,2
6683,2013-06,1,30000.0,1942.9300000000005,4
6684,2013-08,1,16000.0,0.0,1
6685,2013-03,1,13500.0,704.75,2
6686,2011-02,1,13500.0,0.0,0
6687,2015-03,1,17100.0,191.34000000000012,2
6688,2011-02,1,9000.0,0.0,0
6689,2015-11,1,7000.0,0.0,-1
6690,2011-08,1,16000.0,0.0,3
6691,2013-09,1,14250.0,-23.670000000001888,3
6692,2011-11,1,14400.0,0.0,-2
6693,2011-09,1,6175.0,1078.41,1
6694,2012-05,1,6500.0,0.0,2
6695,2010-02,1,33250.0,0.0,0
6696,2017-01,1,35000.0,0.0,0
6697,2011-06,1,8075.0,1908.630000000001,4
6727,2016-09,1,11590.0,509.9700000000012,1
6732,2015-02,1,9333.33,0.0,1
6752,2015-10,1,10000.0,0.0,1
6753,2017-04,2,19000.0,0.0,1
6774,2016-10,1,12825.0,0.0,-1
6775,2016-01,1,12500.0,0.0,-2
6776,2015-01,1,11000.0,0.0,-1
6792,2015-10,1,11111.11,0.0,1
6793,2015-07,1,12825.0,0.0,1
6794,2015-12,1,13500.0,1612.430000000004,0
6795,2015-10,1,12500.0,0.0,1
6846,2016-10,1,10640.0,0.0,-1
6894,2017-07,2,1900.0,0.0,0
6895,2017-08,1,1180.0,0.0,0
6896,2017-01,1,1000.0,0.0,0
6897,2017-04,1,1200.0,0.0,1
6901,2016-12,1,2599.15,650.1200000000026,-1
6910,2017-05,1,15000.0,0.0,2
7025,2013-01,1,8550.0,0.0,2
7026,2010-11,1,6075.0,0.0,3
7027,2011-05,1,6650.0,0.0,2
7028,2010-07,1,5400.0,0.0,0
7029,2014-09,1,8550.0,-549.5400000000009,0
7032,2016-05,1,42750.0,0.0,2
7089,2013-01,1,28000.0,0.0,2
7090,2012-09,1,17100.0,993.5600000000012,2
7097,2010-09,1,10000.0,1163.2599999999984,2
7098,2013-04,1,26000.0,0.0,2
7099,2012-08,1,20000.0,0.0,1
7104,2013-11,1,19950.0,0.0,-4
7181,2014-03,1,1900.0,627.0799999999981,3
7182,2015-05,1,2666.67,0.0,3
7183,2017-02,1,925.16,0.0,1
7184,2015-04,1,933.0,0.0,2
7185,2014-04,1,1500.0,0.0,2
7186,2013-11,1,1334.0,0.0,-4
7187,2013-11,2,15010.0,0.0,-4
7188,2017-08,2,14250.0,0.0,0
7189,2015-09,1,10640.0,-4.389999999999418,3
7190,2017-09,1,16200.0,566.0800000000017,2
7191,2014-11,1,9400.0,0.0,0
7192,2014-01,1,7347.0,0.0,1
7193,2013-12,1,10545.0,1041.2100000000028,-2
7194,2017-07,1,11000.0,0.0,0
7196,2016-10,1,1333.33,0.0,-1
7197,2013-12,1,1500.0,1041.2100000000028,-2
7198,2015-10,1,3000.0,0.0,1
7199,2016-10,2,3000.0,0.0,-1
7233,2016-12,1,3964.95,650.1200000000026,-1
7234,2014-01,2,8550.0,0.0,1
7235,2013-11,1,24000.0,0.0,-4
7277,2012-04,1,8455.0,0.0,1
7280,2014-03,1,5000.0,627.0799999999981,3
7281,2014-05,1,5040.0,0.0,2
7282,2014-02,1,5000.0,0.0,1
7283,2013-11,1,4750.0,0.0,-4
7284,2014-02,1,5000.0,0.0,1
7285,2015-01,1,9595.0,0.0,-1
7297,2015-05,1,14040.0,0.0,3
7298,2015-05,1,14040.0,0.0,3
7299,2015-12,1,12329.1,1612.430000000004,0
7307,2016-08,1,15622.39,0.0,-1
7308,2016-06,1,17575.0,1267.4199999999985,3
7309,2015-02,1,16910.0,0.0,1
7310,2015-04,1,5320.0,0.0,2
7311,2015-09,1,4978.0,-4.389999999999418,3
7312,2016-09,1,6270.0,509.9700000000012,1
7313,2015-04,1,4978.0,0.0,2
7314,2015-11,1,6600.0,0.0,-1
7333,2014-10,1,12777.5,0.0,0
7334,2014-09,1,12777.5,-549.5400000000009,0
7335,2017-08,1,12825.0,0.0,0
7336,2017-01,1,11000.0,0.0,0
7337,2016-04,1,11400.0,0.0,4
7338,2014-08,1,10640.0,0.0,0
7339,2016-12,1,11000.0,650.1200000000026,-1
7340,2016-04,1,10133.46,0.0,4
7341,2015-05,1,10640.0,0.0,3
7342,2015-01,1,8550.0,0.0,-1
7343,2015-10,1,8550.0,0.0,1
7344,2014-09,1,8550.0,-549.5400000000009,0
7345,2016-01,1,8550.0,0.0,-2
7346,2014-10,1,6080.0,0.0,0
7347,2016-04,1,19000.0,0.0,4
7348,2014-01,1,19190.0,0.0,1
7349,2016-04,1,16200.0,0.0,4
7350,2015-05,1,17100.0,0.0,3
7351,2016-12,1,17622.0,650.1200000000026,-1
7352,2014-09,1,15960.0,-549.5400000000009,0
7445,2015-12,1,22990.0,1612.430000000004,0
7450,2016-10,1,19000.0,0.0,-1
7523,2017-09,1,18050.0,566.0800000000017,2
7524,2012-05,1,13300.0,0.0,2
7525,2017-01,1,17100.0,0.0,0
7526,2012-10,1,13300.0,0.0,1
7527,2011-08,1,11400.0,0.0,3
7528,2011-05,1,11400.0,0.0,2
7529,2012-02,1,9405.0,0.0,2
7530,2012-07,1,9900.0,0.0,2
7531,2011-11,1,9900.0,0.0,-2
7532,2017-08,1,376.42,0.0,0
7536,2014-03,1,12350.0,627.0799999999981,3
7537,2014-06,1,12825.0,697.5699999999997,6
7538,2014-03,1,13500.0,627.0799999999981,3
7539,2010-10,1,11875.0,0.0,1
7540,2012-06,1,12350.0,1546.5699999999995,4
7541,2014-12,1,12350.0,1856.0400000000006,1
7542,2012-11,1,12825.0,0.0,1
7543,2013-12,1,12825.0,1041.2100000000028,-2
7599,2016-08,1,22050.0,0.0,-1
7600,2010-06,1,6500.0,2270.6900000000005,4
7601,2012-12,1,4500.0,-148.4300000000003,2
7602,2017-10,1,3964.95,0.0,1
7603,2010-12,1,10500.0,-253.23999999999802,3
7604,2010-10,2,11700.0,0.0,1
7605,2010-04,1,3000.0,0.0,2
7606,2012-03,1,2850.0,148.04999999999927,4
7608,2011-02,1,42750.0,0.0,0
