Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-24 -- W/C BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-26 -- W/C DESK,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-27 -- STONE ALA,Home Decor,Ala,Stone,Make different sub-category or put in objects?,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-31 -- TEAK WOOD BED,Bed,,Wood,--> Sub category for bed?,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-32 -- W/C BED,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-33 -- W/C FOUR FOSTER BED WITH TENT TOP,Bed,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-75 -- W/C 2 DR 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-77 -- W/C 1 DR 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-78 -- W/C 2 DOOR CABINET COLOR FINISH WHITE WASH,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-79 -- W/C 3 DR 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-80 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-82 -- SUNBURST WHITE CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-83 -- W/C 2 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H1015-84 -- W/C 1 DR 1 DOOR CABINET,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4050 -- W/c Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4058 -- W/c Coffee Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4059 -- W/c Old Dressing,Table,Dressing Table,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4060 -- W/c Jali Cutting Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4061 -- W/c Side Table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4062 -- W/c 2 Drawer Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4063 -- W/c Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4067 -- W/c Side Table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4067-01 -- W/C SIDE TABLE S,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4067-02 -- W/C SIDE TABLE SMALL,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4067-04 -- IRON WOOD TABLE,Table,Garden Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4069 -- W/c Towel Rack,Stand,Towel Stand,Wood,Not really a shelf,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4072 -- W/c Bar,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4073 -- W/c Bar Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4076 -- W/c Mirror matching console with baveled mirror,Table,Console,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4079 -- W/c Pidda,Bajot,Pidda,Wood,Should Pidda be a sub category?,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4083 -- W/c Canvas Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H-4089 -- W/c Chair with uphostrey as ref. picture,Chair,Sofa Chair with Fabric,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4090 -- W/c Teak wood sofa set with table,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"H2H4092 -- W/c Sofa Set 
(2+1+1)",Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4094 -- W/c DVD Rack,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
H2H4099 -- W/c 4 Drawer Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,                  
H2H4100 -- W/C Sofa Set,Sofa,Fabric ,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-02 -- Iron Jali Coffee table,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-08 -- Bench Teak,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-10 -- wooden Charkha,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-13 -- Glass Cabinet,Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-14 -- Box open,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-16 -- Cabinet,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-18 -- Half Pitra Brass,Trunk,Pitara,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-19 -- Box Craving Red & green,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-21 -- Coffee table 3 Pcs Set Iron,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-23 -- Coffee table wth wheel (in Black),Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-24 -- Bar Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-25 -- Cycle  Bar stool,Table,Stool,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-29 -- Coffee Table Door,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-31 -- Desk wth chair,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-34 -- Side Board 2 Door,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-35 -- Drawer Chest 3 Drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-36 -- Dinning +4 chair set,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-38 -- Coffee Table 1 Drawer,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-40 -- Folding  Dinning Table 6 Chair,Table,Dining Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-42 -- Glass Cabinet,Cupboard,Cabinet,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-44 -- Almira wooden Jali,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-47 -- Rest Chair Teak,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-48 B -- Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-48 S -- Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-49 -- Arm Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0215-50 -- Arm Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC-07 -- Iron Wooden Table,Table,Garden Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-02 -- Drawer Chest,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-03 -- Drawer Chest Pati Lock,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-04 -- Cloth Tokari,Home Decor,Objects,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-05 -- Basket,Home Decor,Objects,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-07 -- Desk Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-10 -- Bar stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-11 -- Iron Table,Table,Garden Table,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-12 -- Consale Table 4 Drawer,Table,Console,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-13 -- Bajot Big,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-15 -- Bajot Medium,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-16 -- Bajot Small Teak,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-20 -- Side table,Table,Side Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-21 -- Lantern,Home Decor,Lamp,Glass,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-22 -- Stone Bird parat,Home Decor,Utensil,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-23 -- Stone Bird parat,Home Decor,Utensil,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-25 -- cloth Basket,Home Decor,Objects,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-29 -- Teak Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-30 -- Glass Almirah,Cupboard,Regular,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0715-31 -- Craved Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-01 -- Reclaimed Wood & iron Side Board,Cupboard,Cabinet,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-02 -- wheel Cofee Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-04 -- Iron Wooden Floding Coffee Table,Table,Coffee Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-05 -- Iron wooden Box,Home Decor,Box,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-07 -- Teak wood Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-11 -- Wooden Trunk Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-13 -- Reclaimed Wood Chest of Drawer,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-14 -- Lantren Big,Home Decor,Lamp,Glass,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-15 -- Lantren Medium,Home Decor,Lamp,Glass,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-17 -- Wooden Mana Pot,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-18 -- Wooden Mana Pot,Home Decor,Objects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-19 -- Wooden Statue,Home Decor,Statue,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-22 -- Cloth Box,Home Decor,Box,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC0914-23 -- Wooden Brass Fitted Box,Trunk,Pitara,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC1013-06 -- Iron Chest,Trunk,Chest,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC1013-12 -- Centre Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC1013-18 -- 16 Drawer Reclaim wood,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAC1013-21 -- Side Board,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAO-16 -- Old Wooden Damchi,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAO-31 -- Painted Box,Home Decor,Box,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAO-34 -- Old Door,Door,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JAO-35 -- CORNER,Cupboard,Showcase,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JMCBRD-01 -- Old Burma Teak Inlay Cupboard,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JMCHR-01 -- OLd Rose wood Craved Chair,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
JMNTBL-01 --  Nesting table Set of 4,Table,Nesting,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
L TBLE-01 -- Chaki table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0213-01 -- Wooden Mag std.,Stand,Magazine Stand,Wood,Keep it magazine stand or generalise?,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0213-01S -- magzine stand,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0215-18 -- Wooden Mag. Rack Big,Stand,Magazine Stand,Wood,Recheck for all racks,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0215-19 -- Wooden Mag Rack Small,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0215-24 -- Elephant Stool 15""",Home Decor,Stool,Wood,Under furniture or home decor?,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0215-25 -- Elephant Stool,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-03 -- WD 3DRAWER SIDE BOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-04 -- WD BENCH BRASS FTD,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-06 -- WD SIDE BAORD  RUSTIC,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-08 -- WD STOOL BRASS FTD,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-09 -- WD MIRROR FRAME BRASS FTD SEND BLASD,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-10 -- WD MIRROR FRAME BRASS FTD SEND BLASD,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0317-104 -- 9"" Elephant Stool Brass fitted",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0317-105 -- 12"" Elephant Stool Brass fitted",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0317-106 -- 15"" Elephant Stool Brass fitted",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-110 B -- Wdn. Round Bajot Brass fitted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-110 S -- Wdn. Round Bajot Brass fitted,Bajot,Regular,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-111 S -- Tile stool brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-112 -- Wdn round stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-116 -- Wdn Round stool brass fitted,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-117 B -- Wdn pidha,Bajot,Pidda,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-12 -- WD TEAK SIDE BOARD,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-124 -- Wdn Stool Painted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-132 -- Rope Muda,Home Decor,Obects,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-133  -- Rope Charpai,Home Decor,Charpai,Fabric,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-144 -- Wooden old Mirror frame,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-15 -- WD OLD MIRROR FRAME,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-16 -- WD OLD MIRROR FRAME,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-18 -- WD SELF FOLDING,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-19 -- WD MIRROR FRAME BRASS FTD SEND BLASD,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-20 -- WD TEAK ALMIRAH CARVING,Cupboard,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-23 -- WD  TEAK WINE BAR BRASS FTD,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-53 -- Magzin holder,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0317-54 -- Magzin holder,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0317-80 -- Wdn. 15"" Elephant brass fitted stool",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0317-81 -- Wdn. 18"" Elephant brass fitted Stool",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0416-01 -- Wooden Elephant Stool 12""",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0416-04 -- Wooden Elephant Stool 10""",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0416-05 -- Wooden Elephant Bajot Painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0416-13 -- Wooden Painted Mirror,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0416-16 -- Wooden Bajot  painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0416-35 -- Wooden Mag Rack brass fitted,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0613-01 -- Magzine Rack,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0713-01 -- Wooden Mag. Rack,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0714-05 --  Magazine Rack,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-03 -- Wooden Wine Bar Teak Plain,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-09 -- Wooden Mirror Frame Golden,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-10 -- Wooden Mirror FrameCraved  Golden,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-12 -- Wooden Chair Teak,Chair,Sitting Chair,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-132 -- 21x21x6 Bajot full brass,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-138 M -- Bajot painted Medium,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-138 S -- Bajot painted small,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-139 -- Mag. Std. Brass fitted,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-14 -- Wooden Elephant Bench brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-140 -- Elphant Table Mixed,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-147 -- Mag. Std.  painted,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-16 -- 15"" Elphant stool Brass Fitted",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-165 -- 24""x 24"" Round Mirror full brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-166 -- 36""x36"" Round  Mirror full brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-19 -- 30""x48"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-21 -- 24""x35"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-22 -- 24""x36"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-26 -- 20""x30"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-30 -- 24""x40"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-31 -- 24""x36"" Mirror Frame Full Brass",Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-33 -- Elephant Small bench brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-34 -- Round Elephant stool,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-35 -- Bed Side Painted,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-36 -- Elephant Bench Brass Fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-39 B -- Bajot Brass Fitted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-39 M -- Bajot Brass Fitted 12""",Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-39 S -- Bajot Brass Fitted 10""",Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-42 -- WD ELEPHANT BAJOT PAINTED,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0715-45 M -- Bajot painted 12""",Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-46 --  Bajot Painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-47 -- W/D Bajot painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-48 -- Round stool Painted,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-49 -- Camel Small Bench Brass fitted,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0715-50 -- ELEPHANT,Home Decor,Animal,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-02 -- Wooden Table,Table,Coffee Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-03 -- Side Board Color,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-04 -- Stool Color,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-05 -- Shelf Rustic,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-07 -- Wooden Bench Rustic Brass,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-12 -- Bed side brown,Table,Bedside,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-19 -- Stool,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-20 -- Teak Rustic Color SHELF,Shelf,Open Shelf,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-21 -- Side board teak Brass,Cupboard,Cabinet,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-22 -- Teak Wine Bar,Table,Bar Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-23 -- Mirror Round,Mirror,,Glass and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-34 -- Mag. Rack Brass fitted,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-46 -- Wooden Letter/ Mag Std.,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0716-85 -- 8"" elephant stool painted",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-86 --  elephant  Brass Fitted,Home Decor,Animal,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-88 M -- Chowki,Bajot,Pidda,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0716-91 -- 12"" Elphant stool Rustic",Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0716-96 -- Stool Rustic Green,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-114 -- Painted Temple,Home Decor,Temple,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-36 -- Elephant stool,Home Decor,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-39 -- 10"" Bajot Painted",Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-40 -- 12"" Bajot Painted",Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-41 --  Bajot Painted,Bajot,Regular,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-42 --  Stool painted,Table,Stool,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-44 -- 24""x 48"" Mirror Frame",Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-46 -- 18""x24"" mirror Frame",Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-48 -- 24""x 36"" Mirror Frame",Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-50 -- 18""x24"" mirror Frame",Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
"LAP0914-51 -- 20""x30"" Mirror Frame",Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-54 -- Chaurang S/3 Medium,Bajot,Chaurangi,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-55 -- Chaurang S/3 Small,Bajot,Chaurangi,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0914-58 -- CD Holder Mag Holder,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-11 -- Magzine Rack big,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-12 -- Magzine Rack small,Stand,Magazine Stand,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
LAP0916-33 -- Mirror frame painted,Frame,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
