Item Code,Category,Type,Material,Description,,,,,,,,,,,,,,,,,,,,,,,,,
GH-22 -- Suraj mukhi Chester,Trunk,Chest,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-31 -- Small Objects,Home Decor,Obects,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-37 -- Mrabal Bowl,Home Decor,Bowl,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-43 -- Wooden swing,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-49 -- Wooden Zula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-50 -- Wooden Zula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-53 -- Wooden Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-64 -- Wooden Children Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-66 -- Wooden Bench,Chair,Bench,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-70 -- Wooden Table,Table,Study Table,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-77 -- Old wooden paath,Bajot,Chaurangi,Wood,Bajot sub-categories?,,,,,,,,,,,,,,,,,,,,,,,,,
GH-81 -- Bench wth 2 chair Iron set,Chair,Bench,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-82 -- Iron Bench,Chair,Bench,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-83 -- Iron table wth 4 Chair,Table,Garden Table,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-85 -- Iron Chester,Trunk,Chest,Metal,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-86 -- School Iron wth wooden bench,Table,Study Table,Metal and Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
GH-90 -- Old Burma teak Bhav Nagari Jhula,Swing,,Wood,,,,,,,,,,,,,,,,,,,,,,,,,,
