Item Code,Date,Quantity,Cost,Category,Type,Material
CH-JD-12/17-WDN,2017-03-08,1,Rs.18500.00,Cupboard,Cabinet,Wood
CH-JD-6/17-WDN,2017-01-10,1,Rs.20425.00,Home Decor,,Wood
CH-JD-6/17-WDN,2017-02-09,1,Rs.18525.00,Home Decor,,Wood
CH-JD-CNSLE,2017-10-21,1,Rs.19760.00,Home Decor,,Wood
CH-JD-SDEBRD-12/17,2017-10-25,1,Rs.25935.00,Home Decor,,Wood
CH-JD-SDEBRD04-9/17,2017-01-10,1,Rs.25935.00,Home Decor,,Wood
CH-JD-WDN,2017-09-22,1,Rs.8645.00,Home Decor,,Wood
CH-JD-WDN,2017-08-16,1,Rs.12500.00,Home Decor,,Wood
CH-JD-WDN,2017-10-15,1,Rs.19000.00,Home Decor,,Wood
CH-JD/04-17/BST-HW/02,2017-09-30,1,Rs.7200.00,Home Decor,,Wood
CH-JD/04-17/CAB-HW/02,2017-10-06,1,Rs.13050.00,Home Decor,,Wood
CHBX-03,2016-11-06,1,Rs.533.34,Home Decor,,Wood
CHTBX-01,2016-11-01,1,Rs.1110.00,Home Decor,,Wood
CHTBX-01,2016-08-02,2,Rs.2222.22,Home Decor,,Wood
CHTBX-01,2016-01-21,1,Rs.1250.00,Home Decor,,Wood
CHTBX-01,2015-12-31,1,Rs.1111.00,Home Decor,,Wood
CHTBX-02,2017-11-06,1,Rs.845.86,Home Decor,,Wood
CHTRY-01,2016-01-26,1,Rs.750.00,Home Decor,,Wood
CISA-09,2017-12-21,1,Rs.300.00,Home Decor,,Wood
CISA-26,2015-06-27,1,Rs.800.00,Home Decor,,Wood
DBF-D1,2016-09-15,1,Rs.3111.15,Home Decor,,Wood
DBF-D1,2016-11-02,1,Rs.1778.00,Home Decor,,Wood
DBF-D1,2016-09-15,1,Rs.3500.00,Home Decor,,Wood
DBNK-01,2015-11-27,1,Rs.500.00,Home Decor,,Wood
DBTBL-01,2011-12-01,1,Rs.2955.45,Table,Coffee Table,Wood
DC-03,2015-01-26,1,Rs.2200.00,Home Decor,,Wood
DC-07,2015-01-31,2,Rs.381.20,Home Decor,,Wood
DC-07,2015-11-01,1,Rs.190.50,Home Decor,,Wood
DC-08,2015-01-13,1,Rs.85.50,Home Decor,,Wood
DLFCND-03,2017-10-14,1,Rs.60.00,Home Decor,,Wood
DLMP,2015-01-21,1,Rs.533.00,Home Decor,Lamp,Glass
DLMP-02,2017-09-01,1,Rs.2025.00,Home Decor,,Wood
DLMP-02,2015-12-10,4,Rs.6577.80,Home Decor,,Wood
DLMP-03,2017-07-02,2,Rs.3600.00,Home Decor,,Wood
DLMP-03,2016-10-03,1,Rs.1435.56,Home Decor,,Wood
DLMP-03,2017-09-20,3,Rs.5400.00,Home Decor,,Wood
DLMP-04,2017-02-09,1,Rs.900.00,Home Decor,,Wood
DLMP-05,2015-01-23,1,Rs.1511.00,Home Decor,,Wood
DLMP-05,2015-01-23,1,Rs.1700.00,Home Decor,,Wood
DLMP-08,2015-04-16,2,Rs.2666.68,Home Decor,,Wood
DLMP01,2015-11-10,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-03-25,2,Rs.1600.00,Home Decor,Lamp,Glass
DLMP01,2016-03-20,2,Rs.1710.00,Home Decor,Lamp,Glass
DLMP01,2015-06-03,2,Rs.1600.00,Home Decor,Lamp,Glass
DLMP01,2015-01-01,1,Rs.400.00,Home Decor,Lamp,Glass
DLMP01,2016-04-17,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-04-20,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-01-25,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-01-23,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-08-21,1,Rs.800.00,Home Decor,Lamp,Glass
DLMP01,2016-02-11,8,Rs.5011.70,Home Decor,Lamp,Glass
DLMP01,2015-03-14,2,Rs.1800.00,Home Decor,Lamp,Glass
DOOR,2017-08-10,1,Rs.1400.00,Home Decor,,Wood
DOOR,2017-02-10,1,Rs.600.00,Home Decor,,Wood
DOOR,2017-02-10,1,Rs.1400.00,Home Decor,,Wood
DOOR,2017-08-10,1,Rs.600.00,Home Decor,,Wood
DOOR,2017-08-10,1,Rs.600.00,Home Decor,,Wood
DRMT-01,2017-07-17,2,Rs.1500.00,Home Decor,,Wood
DRMT-01,2017-12-08,1,Rs.750.00,Home Decor,,Wood
DTDPPT-01,2017-12-18,1,Rs.200.00,Home Decor,,Wood
DTDPT-01,2017-04-15,2,Rs.352.44,Home Decor,,Wood
DTDPT-01,2017-08-04,1,Rs.176.22,Home Decor,,Wood
DTDPT-01,2017-06-04,1,Rs.176.22,Home Decor,,Wood
DTDPT-01,2017-04-28,1,Rs.176.22,Home Decor,,Wood
DTDPT-01,2017-03-04,1,Rs.176.22,Home Decor,,Wood
DTDPT-02,2017-09-18,1,Rs.350.00,Home Decor,,Wood
DTDPT-02,2017-10-15,2,Rs.600.00,Home Decor,,Wood
DTTH-01,2017-08-28,2,Rs.1306.00,Home Decor,,Wood
DTTLIGHT,2017-01-10,2,Rs.120.00,Home Decor,,Wood
DTTLIGHT,2017-09-28,10,Rs.600.00,Home Decor,,Wood
DTTLIGHT,2016-01-17,5,Rs.238.50,Home Decor,,Wood
DTTLIGHT,2015-11-14,2,Rs.100.00,Home Decor,,Wood
DTTLIGHT,2017-03-08,1,Rs.60.00,Home Decor,,Wood
DTTLIGHT,2017-02-08,3,Rs.180.00,Home Decor,,Wood
DTTLIGHT,2017-07-28,1,Rs.50.85,Home Decor,,Wood
DTTLIGHT,2017-06-30,1,Rs.52.86,Home Decor,,Wood
DTTLIGHT,2015-08-22,2,Rs.100.00,Home Decor,,Wood
DTTLIGHT,2017-09-30,1,Rs.60.00,Home Decor,,Wood
DTTLIGHT,2017-05-08,1,Rs.60.00,Home Decor,,Wood
DTTLIGHT,2017-06-07,2,Rs.120.00,Home Decor,,Wood
DTTLIGHT,2016-12-01,5,Rs.250.00,Home Decor,,Wood
DTTLIGHT,2016-03-22,1,Rs.58.00,Home Decor,,Wood
DTTLIGHT,2016-03-15,1,Rs.57.00,Home Decor,,Wood
DTTLIGHT,2016-03-15,1,Rs.60.00,Home Decor,,Wood
DTTLIGHT,2017-12-15,1,Rs.120.00,Home Decor,,Wood
DTTLIGHT,2017-09-13,6,Rs.360.00,Home Decor,,Wood
DTTLIGHT,2017-02-10,2,Rs.120.00,Home Decor,,Wood
DTTLIGHT,2017-07-23,1,Rs.50.85,Home Decor,,Wood
DTTLIGHT,2015-10-13,1,Rs.50.00,Home Decor,,Wood
DTTLIGHT,2015-06-09,2,Rs.100.00,Home Decor,,Wood
DTTLIGHT,2015-07-09,2,Rs.120.00,Home Decor,,Wood
DTTLIGHT,2017-05-26,1,Rs.52.87,Home Decor,,Wood
DTTLIGHT,2017-07-15,2,Rs.101.70,Home Decor,,Wood
DV-SHWL-01,2016-10-11,1,Rs.8300.00,Home Decor,,Wood
DV-SHWL-01,2014-11-10,5,Rs.19000.00,Home Decor,,Wood
DVTPNTNG-02,2016-04-04,1,Rs.18300.00,Home Decor,,Wood
DVTPNTNG-02,2015-12-28,1,Rs.16267.00,Home Decor,,Wood
DVTPNTNG-02,2016-07-24,1,Rs.17385.00,Home Decor,,Wood
DVTPNTNG-02,2015-01-23,1,Rs.16267.22,Home Decor,,Wood
DVTPNTNG-03,2015-11-07,1,Rs.36600.00,Home Decor,,Wood
DVTPNTNG-04,2016-01-15,1,Rs.25175.00,Home Decor,,Wood
DVTPNTNG-07,2016-08-20,1,Rs.36337.50,Home Decor,,Wood
DVTPNTNG-08,2016-04-04,1,Rs.8800.00,Home Decor,,Wood
DVTPNTNG-09,2016-01-14,1,Rs.11000.00,Home Decor,,Wood
DVTPNTNG-10,2017-01-01,1,Rs.13200.00,Home Decor,,Wood
DVTPNTNG-10,2016-07-24,1,Rs.12540.00,Home Decor,,Wood
DWR-IW-TBL,2017-04-11,1,Rs.17195.00,Table,Coffee Table,Metal and Wood
DWR-IW-TBL-05,2017-04-11,1,Rs.11115.00,Table,Coffee Table,Metal and Wood
DYPNTNG-03,2015-02-26,1,Rs.2000.00,Home Decor,,Wood
DYPNTNG-03,2015-01-02,3,Rs.6000.00,Home Decor,,Wood
EIBX-03,2016-09-10,1,Rs.1321.65,Home Decor,,Wood
EIELT-01,2015-12-09,1,Rs.3022.33,Home Decor,,Wood
EIMSK-01,2015-03-14,2,Rs.7111.12,Home Decor,,Wood
EIMSK-01,2017-10-04,1,Rs.4405.50,Home Decor,,Wood
EL025,2017-09-05,2,Rs.1407.98,Home Decor,,Wood
EL029,2017-12-05,1,Rs.400.90,Home Decor,,Wood
EL030,2017-12-05,1,Rs.703.99,Home Decor,,Wood
EL031,2017-09-26,1,Rs.425.00,Home Decor,,Wood
EL031,2017-07-30,1,Rs.360.18,Home Decor,,Wood
EL032,2017-06-07,1,Rs.3325.00,Home Decor,,Wood
EL034,2017-04-06,2,Rs.925.14,Home Decor,,Wood
EL034,2017-07-06,1,Rs.462.57,Home Decor,,Wood
EL035,2017-07-06,1,Rs.374.46,Home Decor,,Wood
EL035,2017-05-14,1,Rs.374.46,Home Decor,,Wood
EL035,2017-05-25,2,Rs.748.92,Home Decor,,Wood
EL036,2017-07-22,2,Rs.1906.88,Home Decor,,Wood
EL037,2017-07-15,1,Rs.1804.05,Home Decor,,Wood
EL040,2017-08-16,2,Rs.1250.00,Home Decor,,Wood
EL041,2017-02-09,2,Rs.1890.00,Home Decor,,Wood
EL045,2017-05-21,1,Rs.968.33,Home Decor,,Wood
EL088,2017-10-06,1,Rs.1519.90,Home Decor,,Wood
EL088,2017-07-22,2,Rs.3105.00,Home Decor,,Wood
EL088,2017-10-06,1,Rs.1519.90,Home Decor,,Wood
EL091,2017-06-29,1,Rs.1141.02,Home Decor,,Wood
EL091,2017-02-10,2,Rs.2590.00,Home Decor,,Wood
EL093,2017-05-31,1,Rs.615.88,Home Decor,,Wood
EL093,2017-02-10,1,Rs.699.00,Home Decor,,Wood
EL094,2017-05-31,2,Rs.879.34,Home Decor,,Wood
EL094,2017-08-05,2,Rs.835.37,Home Decor,,Wood
EL095,2017-07-05,2,Rs.572.72,Home Decor,,Wood
EL095,2017-08-05,2,Rs.544.08,Home Decor,,Wood
EL097,2017-08-05,1,Rs.1924.37,Home Decor,,Wood
EL098,2017-09-05,1,Rs.924.27,Home Decor,,Wood
EL099,2017-10-30,1,Rs.899.00,Home Decor,,Wood
EL099,2017-06-25,1,Rs.969.21,Home Decor,,Wood
EL108,2017-06-07,1,Rs.425.00,Home Decor,,Wood
EL130,2017-10-14,2,Rs.2290.00,Home Decor,,Wood
EL131,2017-12-05,1,Rs.1008.85,Home Decor,,Wood
EL134,2017-11-06,1,Rs.1245.00,Home Decor,,Wood
FC0311-11,2017-05-27,1,Rs.5500.00,Home Decor,,Wood
FDGNSH-02,2015-09-27,1,Rs.6667.00,Home Decor,,Wood
FE0115-01,2015-01-25,1,Rs.756.00,Home Decor,,Wood
FE0115-01,2015-11-01,1,Rs.756.00,Home Decor,,Wood
FE0115-01,2015-10-01,1,Rs.755.11,Home Decor,,Wood
FE0115-02,2015-11-01,1,Rs.889.00,Home Decor,,Wood
FE0115-02,2015-01-25,1,Rs.1000.00,Home Decor,,Wood
FE0115-02,2015-11-01,1,Rs.950.00,Home Decor,,Wood
FE0115-02,2015-01-26,1,Rs.888.89,Home Decor,,Wood
FE0115-02,2015-01-31,1,Rs.889.00,Home Decor,,Wood
